@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 {0,1,2,3}

@data
248,'2020/04/27 08:47:56:876',5,0.747199,0.127964,-0.353939,-2.435002,1
249,'2020/04/27 08:47:56:953',5,-0.724405,-0.05406,-0.83069,1.984955,1
250,'2020/04/27 08:47:57:143',5,-0.934141,0.078088,0.024365,3.484743,1
251,'2020/04/27 08:48:09:244',6,-14.117782,-6.529519,-6.583619,10.857471,2
252,'2020/04/27 08:48:09:442',6,-21.189116,-1.599518,-10.385237,-6.983965,2
253,'2020/04/27 08:48:09:590',6,-10.047477,-3.727928,5.872198,4.612224,2
254,'2020/04/27 08:48:09:778',6,52.73053,10.56715,3.109803,-3.577966,2
255,'2020/04/27 08:48:09:946',6,-5.776762,-0.594151,10.985661,2.492412,2
256,'2020/04/27 08:48:10:130',6,-37.580936,-6.246691,-16.286034,-1.130553,2
257,'2020/04/27 08:48:10:355',6,-3.143955,-2.459478,-8.336175,3.843188,2
258,'2020/04/27 08:48:10:577',6,33.624817,6.20999,14.739288,-8.515261,2
259,'2020/04/27 08:48:10:804',6,3.610379,2.379059,9.903112,5.132849,2
260,'2020/04/27 08:48:10:986',6,-42.21114,-8.167606,-21.126724,-0.802997,2
261,'2020/04/27 08:48:11:134',6,15.631752,0.144829,3.886034,2.103757,2
262,'2020/04/27 08:48:11:306',6,31.477757,8.066255,10.602798,-2.438892,2
263,'2020/04/27 08:48:11:489',6,-3.342757,-0.161138,2.184811,1.264514,2
264,'2020/04/27 08:48:11:681',6,-45.274727,-9.539661,-18.305882,-0.743951,2
265,'2020/04/27 08:48:11:901',6,29.195345,4.695984,8.602171,-2.224257,2
266,'2020/04/27 08:48:12:096',6,5.293282,3.976787,9.474491,-0.280705,2
267,'2020/04/27 08:48:12:285',6,-24.097261,-3.815463,-8.738289,8.024939,2
268,'2020/04/27 08:48:12:503',6,15.363777,0.627093,1.06878,-5.263337,2
269,'2020/04/27 08:48:12:782',6,-19.778278,-9.513426,-8.61072,2.138027,2
270,'2020/04/27 08:48:12:981',6,66.611641,21.600571,18.309101,-7.520707,2
271,'2020/04/27 08:48:13:177',6,-68.854836,-18.349133,-11.010149,8.82034,2
272,'2020/04/27 08:48:13:381',6,20.997091,10.174882,-1.25452,-3.715247,2
273,'2020/04/27 08:48:13:539',6,-6.103619,-3.052,0.992081,0.059231,2
274,'2020/04/27 08:48:13:735',6,25.488853,-1.106525,11.231483,0.550912,2
275,'2020/04/27 08:48:13:919',6,-33.088078,-0.811094,-12.576979,-0.553737,2
276,'2020/04/27 08:48:14:117',6,-1.762143,-0.253906,-8.734639,-1.868406,2
277,'2020/04/27 08:48:14:278',6,40.856358,1.996849,21.712317,1.192084,2
278,'2020/04/27 08:48:14:460',6,-0.702974,3.142723,-2.489327,3.355412,2
279,'2020/04/27 08:48:14:660',6,-51.166542,-10.148717,-16.708033,-1.973948,2
280,'2020/04/27 08:48:14:826',6,2.161015,-0.337552,-2.860378,0.643503,2
281,'2020/04/27 08:48:14:999',6,53.011723,16.296659,17.676365,-3.029786,2
282,'2020/04/27 08:48:15:209',6,-4.832264,-7.924714,2.105448,0.133236,2
283,'2020/04/27 08:48:15:402',6,-41.491619,-2.470777,-8.168253,0.703167,2
284,'2020/04/27 08:48:15:592',6,-4.904552,-2.124319,-6.981113,4.407746,2
285,'2020/04/27 08:48:15:806',6,44.289391,6.008261,15.585826,-2.723673,2
286,'2020/04/27 08:48:15:974',6,4.136251,-0.320771,-7.448453,-3.160105,2
287,'2020/04/27 08:48:16:223',6,-55.470699,-5.974785,-4.372118,5.399692,2
288,'2020/04/27 08:48:16:488',6,35.202835,2.817174,2.420206,-3.509488,2
289,'2020/04/27 08:48:16:795',6,15.534717,3.617207,6.777615,-1.869039,2
290,'2020/04/27 08:48:16:933',6,-44.358212,-6.476007,-9.482978,5.227956,2
291,'2020/04/27 08:48:17:174',6,17.326908,3.716698,0.47578,-4.178941,2
292,'2020/04/27 08:48:17:313',6,23.111656,0.512104,8.260307,0.026706,2
293,'2020/04/27 08:48:17:568',6,2.466695,3.291133,-5.149533,2.209222,2
294,'2020/04/27 08:48:17:691',6,-74.340248,-18.468384,-13.658173,1.206981,2
295,'2020/04/27 08:48:17:940',6,90.463646,22.178783,28.104002,-1.594571,2
296,'2020/04/27 08:48:18:157',6,-12.900401,-5.499175,-11.470127,-1.240494,2
297,'2020/04/27 08:48:18:337',6,-52.298283,-7.960512,-6.406502,1.4896,2
298,'2020/04/27 08:48:18:542',6,51.387562,9.74119,-0.465785,-3.333338,2
299,'2020/04/27 08:48:18:750',6,-19.940872,-3.651246,16.285295,6.127588,2
300,'2020/04/27 08:48:18:952',6,-8.00964,-4.049826,-12.934568,-1.272727,2
301,'2020/04/27 08:48:19:164',6,-13.638823,4.623909,-5.664618,-6.212074,2
302,'2020/04/27 08:48:19:359',6,27.587894,-0.118386,6.324044,3.578059,2
303,'2020/04/27 08:48:19:637',6,8.298209,-0.586078,7.691688,3.082226,2
304,'2020/04/27 08:48:19:845',6,-31.806189,-2.852949,-20.399271,-5.730072,2
305,'2020/04/27 08:48:20:048',6,1.685651,0.527888,9.842339,4.422751,2
306,'2020/04/27 08:48:20:215',6,62.968948,4.918986,13.851444,-3.724478,2
307,'2020/04/27 08:48:20:432',6,-78.716171,-6.091419,-13.330939,6.465255,2
308,'2020/04/27 08:48:20:607',6,0.628006,-1.987015,-6.327478,-6.295603,2
309,'2020/04/27 08:48:21:003',6,58.796581,12.243706,18.843267,4.506867,2
